PROPLU,Clean Brand,PRONAME,Total Cost 6M,Total Qty 6M,Total Revenue 6M,Selling Price,FC Pct 6M
40002436,TBL,Tabel™ Sauce – 40 ML,78.7960126524,2684,890.4,0.33174366616989565,8.85%
40002026,TBL,Tabel™ Sauce- 40 ML,161.7777161012,5762,1728.6,0.3,9.36%
40002038,TBL,Tabel™ Sauce Large,402.84150157182006,803,2208.25,2.75,18.24%
40002170,TBL,Tabel™ Spicy Sauce - 150 Ml,76.19410500500001,640,607.9999999999999,0.9499999999999998,12.53%
40002437,TBL,Tabel™ Spicy Sauce – 40 ML,43.340961717999996,1412,423,0.29957507082152973,10.25%
40002426,TBL,Tabel™ Spicy Sauce- 40 ML,101.0017621256,1846,416.1,0.2254062838569881,24.27%
40002027,TBL,Tabel™ Spicy Sauce- 40 ML,240.2416028384,7890,2367,0.3,10.15%
40002196,TBL,Tabel™ Spicy Tahini- 150 ML,15.1785854255,107,101.64999999999999,0.95,14.93%
40002197,TBL,Tabel™ Spicy Tahini- 40 ML,75.43611186439999,1939,581.6999999999999,0.3,12.97%
40002199,TBL,Tabel™ Tahini- 150 Ml,89.3396001455,732,695.4,0.95,12.85%
40002198,TBL,Tabel™ Tahini- 40 ML,138.6517056568,4371,1311.3,0.3,10.57%
40003136,TBL,Tahina Maabouj,4.3717064748,81,32.4,0.39999999999999997,13.49%
40002081,TBL,Tahini sauce,3773.160417171498,6586,18111.5,2.75,20.83%
40002094,TBL,Tahini sauce,1032.9384209746127,1784,4906,2.75,21.05%
40002096,TBL,Tahini sauce,899.4087756810349,1301,4033.0999999999995,3.0999999999999996,22.30%
40002086,TBL,Tahini sauce,4625.32249493783,4710,17625,3.7420382165605095,26.24%
40002204,TBL,Tawook Coconut Curry Bowl,1800.90545321634,3223,9507.85,2.95,18.94%
40002068,TBL,Tawouk,1647.9931229733684,2220,6846.7,3.084099099099099,24.07%
40002167,TBL,Tawouk,275.31303749615336,129,1283.55,9.95,21.45%
40002057,TBL,Tawouk Brown Rice awesome bowls,4485.263955239071,6921,22500.100000000002,3.2509897413668547,19.93%
40002451,TBL,Tawouk Coconut Curry Bil Fern,1447.179959730493,1827,6387.5,3.496168582375479,22.66%
40002533,TBL,Tawouk for Maabouj Bil Fern,29.320365494952114,43,150.5,3.5,19.48%
40003125,TBL,Tawouk for Maabouj Rice Bowl,33.488046272233994,51,163.20000000000002,3.2,20.52%
40002177,TBL,Tawouk for Mangoo3 Goodness Box,221.35780809307894,90,1075.5,11.95,20.58%
40002074,TBL,Tawouk for Quinoa & Brown Rice Awesome Bowls,934.9533222286253,1342,4160.2,3.0999999999999996,22.47%
40002076,TBL,Tawouk Quinoa Awesome Bowls,1093.3525705818656,1485,5271.75,3.55,20.74%
40002375,TBL,Tawouk.,515.8686724229584,739,2291.5000000000005,3.1008119079837626,22.51%
40002387,TBL,T-Beef Arayis Ramadan Delight,29.07493897155008,33,156.75,4.75,18.55%
40002361,TBL,T-Beef Shawarma Brown Rice Bowl,1275.5778911748678,1783,5349,3,23.85%
40002378,TBL,T-Brown Rice &Quinoa,15.743297646101817,134,13.399999999999999,0.09999999999999999,117.49%
40002366,TBL,T-Chicken Shawarma Brown Rice Bowl,623.2583620097148,1366,3756.5,2.75,16.59%
40002356,TBL,T-Deboned Chicken Brown Rice Bowl,1139.067932322307,1309,3927,3,29.01%
40002350,TBL,T-Double Mix Deal(dummy),0,8662,17324,2,0.00%
40002203,TBL,Tenderloin Coconut Curry Bowl,2919.872555526465,3059,12083.05,3.9499999999999997,24.17%
40002123,TBL,Tenderloin Tikka,34575.685144103,27717,116411.40000000001,4.2,29.70%
40002450,TBL,The Shawarma Deal,0,131,393,3,0.00%
40002370,TBL,T-Herb Tawouk Mushroom BlL Fern,801.7215657748693,1012,3491.4,3.45,22.96%
40002415,TBL,T-Herbs Tawook  Bowl & Shawarma combo,94.07235479571706,177,840.75,4.75,11.19%
40002414,TBL,T-Herbs Tawook Brown Rice Bowl Tahini Combo 1,148.58340845568037,279,795.15,2.85,18.69%
40002389,TBL,T-Herbs Tawook Brown Rice coconut curry Ramadan,60.95181544476356,98,484.30000000000007,4.9418367346938785,12.59%
40002339,TBL,T-Herbs Tawook Brown Rice -Mushroom-Combo,48.27954604492406,71,14.2,0.19999999999999998,340.00%
40002113,TBL,Tikka,308.7127075421631,230,1023.4999999999999,4.449999999999999,30.16%
40002166,TBL,Tikka,294.7255282790695,80,1108,13.85,26.60%
40002065,TBL,Tikka Brown Rice Bowl,0,3799,22.9,0.0060279020794946035,0.00%
40002107,TBL,Tikka for  Mushroom Mangoo3,3583.40788355676,2373,10559.849999999999,4.449999999999999,33.93%
40002075,TBL,Tikka for  Quinoa & Brown Rice Awesome Bowls,3027.3950198570355,2801,10083.599999999999,3.5999999999999996,30.02%
40002056,TBL,tikka for Brown Rice awesome bowls,2848.8518040648623,2764,10211.999999999998,3.6946454413892904,27.90%
40002373,TBL,Tikka For Create your own bowl,1137.617685794434,895,3221.9999999999995,3.5999999999999996,35.31%
40002105,TBL,Tikka For Khishkhash Mangoo3 and Tahini Mangoo3,2137.43688949665,1586,7057.700000000001,4.45,30.29%
40003123,TBL,Tikka for Maabouj Rice Bowl,52.276507741280504,50,185.00000000000003,3.7000000000000006,28.26%
40002178,TBL,Tikka For Mangoo3 Goodness Box,229.4963158726923,52,777.4000000000001,14.950000000000001,29.52%
40002077,TBL,Tikka for Quinoa Awesome Bowls,593.0050595631666,526,2025.1000000000001,3.85,29.28%
40002374,TBL,T-Kabab 1,47.1373759115406,61,201.3,3.3000000000000003,23.42%
40002392,TBL,T-Kabab Brown Rice Bowll -khishkhash Ramadan,20.315157049784116,31,158.1,5.1,12.85%
40002386,TBL,T-Kabab Ramadan Delight,49.3247966125365,64,348.8,5.45,14.14%
40002367,TBL,T-Meat Ball khishkhash BlL Fern,257.7149485473305,341,1108.25,3.25,23.25%
